2017-05-09 16:18:11 startup archives install
2017-05-09 16:18:11 install base-passwd:amd64 <none> 3.5.37
2017-05-09 16:18:11 status half-installed base-passwd:amd64 3.5.37
2017-05-09 16:18:11 status unpacked base-passwd:amd64 3.5.37
2017-05-09 16:18:11 status unpacked base-passwd:amd64 3.5.37
2017-05-09 16:18:11 configure base-passwd:amd64 3.5.37 3.5.37
2017-05-09 16:18:11 status unpacked base-passwd:amd64 3.5.37
2017-05-09 16:18:11 status half-configured base-passwd:amd64 3.5.37
2017-05-09 16:18:11 status installed base-passwd:amd64 3.5.37
2017-05-09 16:18:11 startup archives install
2017-05-09 16:18:11 install base-files:amd64 <none> 8+deb8u8
2017-05-09 16:18:11 status half-installed base-files:amd64 8+deb8u8
2017-05-09 16:18:11 status unpacked base-files:amd64 8+deb8u8
2017-05-09 16:18:11 status unpacked base-files:amd64 8+deb8u8
2017-05-09 16:18:11 configure base-files:amd64 8+deb8u8 8+deb8u8
2017-05-09 16:18:11 status unpacked base-files:amd64 8+deb8u8
2017-05-09 16:18:11 status unpacked base-files:amd64 8+deb8u8
2017-05-09 16:18:11 status unpacked base-files:amd64 8+deb8u8
2017-05-09 16:18:11 status unpacked base-files:amd64 8+deb8u8
2017-05-09 16:18:11 status unpacked base-files:amd64 8+deb8u8
2017-05-09 16:18:11 status unpacked base-files:amd64 8+deb8u8
2017-05-09 16:18:11 status half-configured base-files:amd64 8+deb8u8
2017-05-09 16:18:11 status installed base-files:amd64 8+deb8u8
2017-05-09 16:18:12 startup archives install
2017-05-09 16:18:12 upgrade dpkg 1.17.27 1.17.27
2017-05-09 16:18:12 status half-configured dpkg 1.17.27
2017-05-09 16:18:12 status unpacked dpkg 1.17.27
2017-05-09 16:18:12 status half-installed dpkg 1.17.27
2017-05-09 16:18:12 status half-installed dpkg 1.17.27
2017-05-09 16:18:12 status unpacked dpkg 1.17.27
2017-05-09 16:18:12 status unpacked dpkg 1.17.27
2017-05-09 16:18:12 configure dpkg 1.17.27 1.17.27
2017-05-09 16:18:12 status unpacked dpkg 1.17.27
2017-05-09 16:18:12 status unpacked dpkg 1.17.27
2017-05-09 16:18:12 status unpacked dpkg 1.17.27
2017-05-09 16:18:12 status unpacked dpkg 1.17.27
2017-05-09 16:18:12 status unpacked dpkg 1.17.27
2017-05-09 16:18:12 status half-configured dpkg 1.17.27
2017-05-09 16:18:12 status installed dpkg 1.17.27
2017-05-09 16:18:12 startup archives install
2017-05-09 16:18:12 install libc6:amd64 <none> 2.19-18+deb8u9
2017-05-09 16:18:12 status half-installed libc6:amd64 2.19-18+deb8u9
2017-05-09 16:18:12 status unpacked libc6:amd64 2.19-18+deb8u9
2017-05-09 16:18:12 status unpacked libc6:amd64 2.19-18+deb8u9
2017-05-09 16:18:12 configure libc6:amd64 2.19-18+deb8u9 2.19-18+deb8u9
2017-05-09 16:18:12 status unpacked libc6:amd64 2.19-18+deb8u9
2017-05-09 16:18:12 status unpacked libc6:amd64 2.19-18+deb8u9
2017-05-09 16:18:12 status half-configured libc6:amd64 2.19-18+deb8u9
2017-05-09 16:18:13 status installed libc6:amd64 2.19-18+deb8u9
2017-05-09 16:18:13 startup archives install
2017-05-09 16:18:13 install perl-base:amd64 <none> 5.20.2-3+deb8u6
2017-05-09 16:18:13 status half-installed perl-base:amd64 5.20.2-3+deb8u6
2017-05-09 16:18:13 status unpacked perl-base:amd64 5.20.2-3+deb8u6
2017-05-09 16:18:13 status unpacked perl-base:amd64 5.20.2-3+deb8u6
2017-05-09 16:18:13 configure perl-base:amd64 5.20.2-3+deb8u6 5.20.2-3+deb8u6
2017-05-09 16:18:13 status unpacked perl-base:amd64 5.20.2-3+deb8u6
2017-05-09 16:18:13 status half-configured perl-base:amd64 5.20.2-3+deb8u6
2017-05-09 16:18:13 status installed perl-base:amd64 5.20.2-3+deb8u6
2017-05-09 16:18:13 startup archives install
2017-05-09 16:18:13 install mawk:amd64 <none> 1.3.3-17
2017-05-09 16:18:13 status half-installed mawk:amd64 1.3.3-17
2017-05-09 16:18:13 status unpacked mawk:amd64 1.3.3-17
2017-05-09 16:18:13 status unpacked mawk:amd64 1.3.3-17
2017-05-09 16:18:13 configure mawk:amd64 1.3.3-17 1.3.3-17
2017-05-09 16:18:13 status unpacked mawk:amd64 1.3.3-17
2017-05-09 16:18:13 status half-configured mawk:amd64 1.3.3-17
2017-05-09 16:18:13 status installed mawk:amd64 1.3.3-17
2017-05-09 16:18:13 startup archives unpack
2017-05-09 16:18:13 install acl:amd64 <none> 2.2.52-2
2017-05-09 16:18:13 status half-installed acl:amd64 2.2.52-2
2017-05-09 16:18:14 status unpacked acl:amd64 2.2.52-2
2017-05-09 16:18:14 status unpacked acl:amd64 2.2.52-2
2017-05-09 16:18:14 install libacl1:amd64 <none> 2.2.52-2
2017-05-09 16:18:14 status half-installed libacl1:amd64 2.2.52-2
2017-05-09 16:18:14 status unpacked libacl1:amd64 2.2.52-2
2017-05-09 16:18:14 status unpacked libacl1:amd64 2.2.52-2
2017-05-09 16:18:14 install adduser:all <none> 3.113+nmu3
2017-05-09 16:18:14 status half-installed adduser:all 3.113+nmu3
2017-05-09 16:18:14 status unpacked adduser:all 3.113+nmu3
2017-05-09 16:18:14 status unpacked adduser:all 3.113+nmu3
2017-05-09 16:18:14 install libattr1:amd64 <none> 1:2.4.47-2
2017-05-09 16:18:14 status half-installed libattr1:amd64 1:2.4.47-2
